2457
30450	207275	29
31978	141089	29
11987	87879	29
107510	14224	29
14792	14224	29
123977	117486	29
9672	11136	29
7494	46414	29
16220	12858	29
56815	87363	29
30450	46818	29
235830	34184	29
25291	4709	29
3450	110198	29
43833	8525	29
86268	65524	29
56760	87363	29
176440	151081	29
12156	1979	29
52710	26611	29
18331	87089	29
189940	99429	29
19635	116339	29
86793	11136	29
24902	256659	29
61486	22656	29
23659	96782	29
13952	20148	29
60537	24507	29
33797	153155	29
23418	44994	29
113428	398746	29
5777	2570	29
32079	11136	29
36607	3019	29
63710	21912	29
9868	14224	29
171948	8525	29
56784	21790	29
63770	7771	29
43499	116673	29
43107	256575	29
34665	179593	29
10843	22181	29
16450	8117	29
11215	14224	29
7746	504281	29
40199	87401	29
68039	208284	29
83334	11136	29
37970	133897	29
61730	15932	29
22340	40432	29
29656	10538	29
83	756	29
3846	65076	29
24480	2570	29
4630	3019	29
108779	8525	29
130418	383937	29
28570	11136	29
8936	44015	29
139298	3588	29
47025	75387	29
11923	83847	29
293966	40432	29
46625	24507	29
3587	71281	29
19749	8525	29
23259	30152	29
47411	159456	29
11135	210194	29
117424	11136	29
7182	57232	29
40075	74453	29
107556	53969	29
1309	7771	29
7742	3019	29
90	51714	29
29901	52660	29
125326	46818	29
44939	40432	29
46843	30589	29
263	59824	29
736	12744	29
6246	13452	29
80906	11136	29
20370	28159	29
25531	6567	29
7610	9074	29
69917	64500	29
907	81464	29
28599	50664	29
59761	1979	29
24420	89238	29
7812	70561	29
66934	3019	29
28806	87089	29
84897	14224	29
112198	41428	29
38528	8259	29
29656	2570	29
22250	52466	29
17588	87089	29
97862	32073	29
3391	111510	29
75123	55701	29
35966	72264	29
5872	271648	29
419	207275	29
189096	46818	29
25291	14035	29
1018	14224	29
14194	326068	29
22043	141089	29
8822	5704	29
22730	2606	29
34645	101647	29
111067	8259	29
24216	122873	29
45577	43943	29
34645	14224	29
18140	138247	29
67730	47603	29
43201	87363	29
105037	52466	29
29392	58511	29
27304	2570	29
19805	273980	29
161717	71281	29
2845	101704	29
448	87363	29
40058	141064	29
78157	67001	29
35224	3019	29
277	46818	29
57381	36809	29
44150	26845	29
8540	122873	29
22744	58936	29
50018	21628	29
5349	107484	29
33503	96215	29
43014	7594	29
22269	36108	29
2601	14224	29
19574	68552	29
11131	145708	29
3450	96782	29
112198	3019	29
8654	46818	29
14527	24507	29
23086	39471	29
61634	186705	29
34645	6648	29
4982	87089	29
8936	9074	29
75386	10649	29
72301	8525	29
125057	45149	29
50786	758	29
9083	31193	29
8352	1935	29
15717	10428	29
38230	43580	29
43576	32073	29
5074	15867	29
20593	287889	29
10229	124033	29
5373	58936	29
47025	3907	29
3199	30589	29
4510	8525	29
7219	20354	29
33238	326068	29
6538	43943	29
81341	106375	29
112003	346564	29
1718	92695	29
60863	52090	29
97862	25069	29
280342	60152	29
86988	46818	29
2138	456748	29
17872	21532	29
1522	9074	29
66317	32311	29
217837	58419	29
111912	101621	29
144933	15932	29
6737	58936	29
75821	8525	29
28578	183689	29
36395	58511	29
42364	1979	29
83793	2570	29
25955	29958	29
3695	46818	29
82084	103226	29
13791	43943	29
29028	1656	29
36566	41428	29
48473	202488	29
66	103363	29
29225	30152	29
50517	14224	29
72010	15198	29
80384	49460	29
23086	40432	29
52966	51714	29
67144	23097	29
4393	33361	29
19727	106144	29
79690	14224	29
1451	173583	29
2896	70561	29
31839	3019	29
12613	21790	29
17682	49745	29
3888	20613	29
1458	141064	29
50786	159456	29
46077	37168	29
24449	14224	29
21711	65041	29
1569	14224	29
59388	26038	29
73512	33044	29
18171	138674	29
35972	40501	29
16933	21532	29
31700	14224	29
22524	30589	29
1079	25069	29
63770	127881	29
18781	98662	29
83948	8525	29
10737	565973	29
40646	154380	29
46625	2570	29
4207	14702	29
3250	14702	29
10065	14224	29
48869	45749	29
6384	600	29
34645	3907	29
736	42443	29
4393	40432	29
12476	3019	29
29108	9074	29
21142	44611	29
13952	2570	29
53119	99429	29
20209	150235	29
47529	27519	29
23245	7771	29
64921	8525	29
992	84734	29
1876	46898	29
112177	11136	29
16762	65076	29
144933	165589	29
39449	52473	29
10262	47531	29
6476	65076	29
19469	8259	29
44784	349842	29
6584	36677	29
19727	10097	29
25164	8525	29
8150	36185	29
6686	5704	29
22897	128322	29
67220	179593	29
3380	4914	29
736	8525	29
6970	29958	29
29508	4709	29
33238	3019	29
56784	31687	29
13612	71281	29
105815	87363	29
167641	180060	29
17222	14224	29
62191	11136	29
35758	88130	29
3946	70975	29
14792	87363	29
10383	59251	29
17384	30589	29
49331	37984	29
40420	11136	29
42364	27726	29
21811	87363	29
8352	21532	29
50786	5002	29
8352	636931	29
48869	19064	29
55527	72960	29
10358	319839	29
5833	10459	29
56162	2570	29
125659	72296	29
67101	46818	29
39359	14224	29
100865	2570	29
24696	158431	29
20458	97374	29
83300	2570	29
22661	1910	29
60781	141064	29
655	14224	29
4420	38884	29
65115	9074	29
2873	2570	29
7325	46818	29
6324	49745	29
5605	67512	29
99752	11136	29
23494	3588	29
52587	51510	29
109744	364452	29
87109	133897	29
18297	7771	29
31595	65743	29
23005	30147	29
3587	188984	29
334519	444538	29
81342	54764	29
30615	37626	29
16011	45149	29
16543	9810	29
18171	71281	29
51620	212541	29
10865	1979	29
122053	29958	29
14321	46818	29
48473	46818	29
52710	7771	29
29878	20326	29
13350	21532	29
13910	27726	29
15205	27845	29
2383	142117	29
13824	41612	29
19288	14920	29
18171	145660	29
6279	382081	29
27597	11537	29
24956	14224	29
20482	17975	29
5614	689912	29
58204	100421	29
36469	3019	29
30545	2606	29
168766	21532	29
86400	87089	29
22665	165589	29
221616	49745	29
31148	162765	29
64921	9074	29
12276	11537	29
123977	248379	29
75331	159926	29
28792	51714	29
60504	13244	29
25266	437317	29
31680	420168	29
45821	54273	29
33983	14744	29
12697	35333	29
1070	627279	29
25970	3796	29
8936	12858	29
16500	24507	29
10835	81464	29
62070	12858	29
25154	24801	29
266530	29753	29
12647	8259	29
21711	58936	29
70393	41428	29
9950	33803	29
448	4709	29
44	58936	29
16599	32311	29
3018	3588	29
22263	121835	29
99512	32907	29
43160	33910	29
6848	25127	29
57091	181852	29
25266	65076	29
15481	8525	29
11301	7594	29
62651	24157	29
28395	52466	29
29938	24157	29
4646	80415	29
918	169	29
86431	17431	29
13571	119328	29
32887	51714	29
2952	115893	29
38133	22721	29
8936	62455	29
67227	191284	29
38284	99429	29
83300	14224	29
198809	18472	29
47620	165589	29
35559	101527	29
1347	8525	29
27218	87089	29
156330	138280	29
